"Four-Year Graduation Rates, Trend"
"New Haven School District, All Students"

"",,"Graduates",,,,
"",,"Four-Year Graduation Rate by Year",,,,
"District","District Code","2011-12","2012-13","2013-14","2014-15","2015-16"
"New Haven School District","=""0930011""",70.9,71.4,75.5,75.1,77.5

